,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
21365,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/26/2008,Parts per billion,35.173913,56,1,53,Parts per million,0.03125,0.066,11,71,Parts per billion,2.173913,3,2,4,Parts per million,0.6625,1.1,7,13
21369,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/27/2008,Parts per billion,24.304348,55,0,52,Parts per million,0.041333,0.074,10,97,Parts per billion,2,3,0,4,Parts per million,0.6125,1,3,11
21373,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/28/2008,Parts per billion,39.434783,58,8,55,Parts per million,0.032083,0.058,11,49,Parts per billion,3.391304,10,19,14,Parts per million,0.670833,1.1,7,13
21377,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/29/2008,Parts per billion,13.652174,27,19,25,Parts per million,0.035125,0.047,22,40,Parts per billion,2.304348,5,12,7,Parts per million,0.308333,0.4,10,5
21381,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/30/2008,Parts per billion,13.565217,38,23,36,Parts per million,0.037833,0.048,0,41,Parts per billion,1.391304,2,11,3,Parts per million,0.2875,0.4,20,5
21385,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/1/2008,Parts per billion,22.434783,43,21,41,Parts per million,0.037208,0.057,10,48,Parts per billion,2.913043,6,12,9,Parts per million,0.345833,0.4,6,5
21389,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/2/2008,Parts per billion,29.956522,70,10,68,Parts per million,0.037375,0.062,12,58,Parts per billion,5,18,18,26,Parts per million,0.516667,0.8,10,9
21393,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/3/2008,Parts per billion,15.086957,24,0,23,Parts per million,0.047792,0.06,9,51,Parts per billion,3.043478,8,17,11,Parts per million,0.379167,0.4,0,5
21397,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/4/2008,Parts per billion,4.652174,19,0,18,Parts per million,0.052958,0.056,3,47,Parts per billion,1.26087,3,0,4,Parts per million,0.2625,0.3,0,3
21401,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/5/2008,Parts per billion,12.434783,24,14,23,Parts per million,0.039417,0.046,0,39,Parts per billion,1.217391,2,11,3,Parts per million,0.270833,0.3,7,3
21405,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/6/2008,Parts per billion,16.869565,33,7,31,Parts per million,0.035333,0.041,14,35,Parts per billion,1.782609,4,7,6,Parts per million,0.320833,0.4,10,5
21409,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/7/2008,Parts per billion,15.681818,31,11,29,Parts per million,0.032,0.04,13,34,Parts per billion,1.652174,3,6,4,Parts per million,0.325,0.4,10,5
21413,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/8/2008,Parts per billion,20.043478,38,5,36,Parts per million,0.030708,0.045,11,38,Parts per billion,1.913043,5,21,7,Parts per million,0.370833,0.5,9,6
21417,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/9/2008,Parts per billion,15.26087,24,13,23,Parts per million,0.036708,0.041,17,35,Parts per billion,1.73913,4,16,6,Parts per million,0.333333,0.4,14,5
21421,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/10/2008,Parts per billion,13.130435,28,6,26,Parts per million,0.039542,0.054,12,46,Parts per billion,2.217391,4,11,6,Parts per million,0.329167,0.4,10,5
